Country,Circuit_Name,First_Grand_Prix,Number_of_Laps,Circuit_Length_km,Race_Distance_km,Lap_Record_Time,Lap_Record_Driver,Lap_Record_Year,Circuit_Url
Australia,Albert Park Grand Prix Circuit,1996,58,5.278,306.124,01:19.8,Charles Leclerc,2024,https://raw.githubusercontent.com/Mitz619/F1-2025/2786cb5cf7b464cb6af30b725c259c49d6c7db28/F1%20Race%20Tracks/Australia1.gif
Azerbaijan,Baku City Circuit,2016,51,6.003,306.049,01:43.0,Charles Leclerc,2019,https://raw.githubusercontent.com/Mitz619/F1-2025/2786cb5cf7b464cb6af30b725c259c49d6c7db28/F1%20Race%20Tracks/Baku.gif
Belgium,Circuit de Spa-Francorchamps,1950,44,7.004,308.052,01:44.7,Sergio Perez,2024,
Brazil,Autódromo José Carlos Pace,1973,71,4.309,305.879,01:10.5,Valtteri Bottas,2018,
Canada,Circuit Gilles-Villeneuve,1978,70,4.361,305.27,01:13.1,Valtteri Bottas,2019,
Great Britain,Silverstone Circuit,1950,52,5.891,306.198,01:27.1,Max Verstappen,2020,
Italy,Autodromo Nazionale Monza,1950,53,5.793,306.72,01:21.0,Rubens Barrichello,2004,
Japan,Suzuka Circuit,1987,53,5.807,307.471,01:31.0,Lewis Hamilton,2019,
Mexico,Autódromo Hermanos Rodríguez,1963,71,4.304,305.354,01:17.8,Valtteri Bottas,2021,
Monaco,Circuit de Monaco,1950,78,3.337,260.286,01:12.9,Lewis Hamilton,2021,https://raw.githubusercontent.com/Mitz619/F1-2025/2786cb5cf7b464cb6af30b725c259c49d6c7db28/F1%20Race%20Tracks/Monaco.gif
Saudi Arabia,Jeddah Corniche Circuit,2021,50,6.174,308.45,01:30.7,Lewis Hamilton,2021,
Singapore,Marina Bay Street Circuit,2008,62,4.94,306.143,01:34.5,Daniel Ricciardo,2024,
Spain,Circuit de Barcelona-Catalunya,1991,66,4.657,307.236,01:16.3,Max Verstappen,2023,
UAE,Yas Marina Circuit,2009,58,5.281,306.183,01:25.6,Kevin Magnussen,2024,
USA,Las Vegas Strip Circuit,2023,50,6.201,309.958,01:34.9,Lando Norris,2024,
,,,,,,,,,
